Product Name,Product URL,Brand,Sale Price,Mrp,Discount Percentage,Number Of Ratings,Number Of Reviews,Upc,Star Rating,Ram
"SAMSUNG Galaxy F62 (Laser Blue, 128 GB)",https://www.flipkart.com/samsung-galaxy-f62-laser-blue-128-gb/p/itmba1329c393a14?pid=MOBFZWSTSZGFGGTR,SAMSUNG,23999,31999,25,4464,657,MOBFZWSTSZGFGGTR,4.3,8 GB
"SAMSUNG Galaxy F62 (Laser Green, 128 GB)",https://www.flipkart.com/samsung-galaxy-f62-laser-green-128-gb/p/itm3659bc5ac2601?pid=MOBFZWSUEMTZDC7U,SAMSUNG,21999,29999,26,8610,1290,MOBFZWSUEMTZDC7U,4.3,6 GB
"SAMSUNG Galaxy F62 (Laser Blue, 128 GB)",https://www.flipkart.com/samsung-galaxy-f62-laser-blue-128-gb/p/itmf82cc5e797312?pid=MOBFZWSUHXGQMUPH,SAMSUNG,21999,29999,26,8610,1290,MOBFZWSUHXGQMUPH,4.3,6 GB
"SAMSUNG Galaxy F62 (Laser Grey, 128 GB)",https://www.flipkart.com/samsung-galaxy-f62-laser-grey-128-gb/p/itm97ec206bb0bde?pid=MOBFZWSUMTPWSGQH,SAMSUNG,23999,31999,25,4464,657,MOBFZWSUMTPWSGQH,4.3,8 GB
"SAMSUNG Galaxy F62 (Laser Green, 128 GB)",https://www.flipkart.com/samsung-galaxy-f62-laser-green-128-gb/p/itm48722edba16c9?pid=MOBFZWSUZZ2Y7YYG,SAMSUNG,23999,31999,25,4464,657,MOBFZWSUZZ2Y7YYG,4.3,8 GB
"ViVO Y20G (Obsidian Black, 128 GB)",https://www.flipkart.com/vivo-y20g-obsidian-black-128-gb/p/itm4f2cd46459e6c?pid=MOBFZX2GGSFM8SJW,ViVO,14990,18990,21,552,32,MOBFZX2GGSFM8SJW,4.3,6 GB
"ViVO Y20G (Obsidian Black, 64 GB)",https://www.flipkart.com/vivo-y20g-obsidian-black-64-gb/p/itm4f2cd46459e6c?pid=MOBFZX2GHX8AYHFT,ViVO,12990,16990,23,504,31,MOBFZX2GHX8AYHFT,4.2,4 GB
"ViVO Y20G (Purist Blue, 64 GB)",https://www.flipkart.com/vivo-y20g-purist-blue-64-gb/p/itm4f2cd46459e6c?pid=MOBFZX2GXQK2E4HC,ViVO,12990,16990,23,504,31,MOBFZX2GXQK2E4HC,4.2,4 GB
"ViVO Y20G (Purist Blue, 128 GB)",https://www.flipkart.com/vivo-y20g-purist-blue-128-gb/p/itm4f2cd46459e6c?pid=MOBFZX2GY4KVY6FU,ViVO,14990,18990,21,552,32,MOBFZX2GY4KVY6FU,4.3,6 GB
"Infinix Smart 5 (Morandi Green, 32 GB)",https://www.flipkart.com/infinix-smart-5-morandi-green-32-gb/p/itm8d968c7fe7d88?pid=MOBFZX3H2ARU2GHY,Infinix,7199,8999,20,10951,910,MOBFZX3H2ARU2GHY,4.4,2 GB
"Infinix Smart 5 (7° Purple, 32 GB)",https://www.flipkart.com/infinix-smart-5-7-purple-32-gb/p/itm8d968c7fe7d88?pid=MOBFZX3HAVZ3KQFW,Infinix,7199,8999,20,10951,910,MOBFZX3HAVZ3KQFW,4.4,2 GB
"Infinix Smart 5 (Obsidian Black, 32 GB)",https://www.flipkart.com/infinix-smart-5-obsidian-black-32-gb/p/itm8d968c7fe7d88?pid=MOBFZX3HGUMVY9ET,Infinix,7199,8999,20,10951,910,MOBFZX3HGUMVY9ET,4.4,2 GB
"Infinix Smart 5 (Aegean Blue, 32 GB)",https://www.flipkart.com/infinix-smart-5-aegean-blue-32-gb/p/itm8d968c7fe7d88?pid=MOBFZX3HUEEMQUPZ,Infinix,7199,8999,20,10951,910,MOBFZX3HUEEMQUPZ,4.4,2 GB
"Nokia 5.3 (SAND, 64 GB)",https://www.flipkart.com/nokia-5-3-sand-64-gb/p/itm5f6cbfa46c1c2?pid=MOBFZXUNSRFNERQG,Nokia,11999,11999,0,71,5,MOBFZXUNSRFNERQG,3.6,4 GB
"Nokia 5.3 (CYAN, 64 GB)",https://www.flipkart.com/nokia-5-3-cyan-64-gb/p/itm5f6cbfa46c1c2?pid=MOBFZXUNYBHHQUVD,Nokia,11999,11999,0,71,5,MOBFZXUNYBHHQUVD,3.6,4 GB
"Nokia 5.3 (SAND, 64 GB)",https://www.flipkart.com/nokia-5-3-sand-64-gb/p/itmbc7f9598ad6ed?pid=MOBFZXUPVNQ9KQMZ,Nokia,13999,13999,0,39,5,MOBFZXUPVNQ9KQMZ,3.7,6 GB
"Nokia 5.3 (CHARCOAL, 64 GB)",https://www.flipkart.com/nokia-5-3-charcoal-64-gb/p/itmbc7f9598ad6ed?pid=MOBFZXUPYH6ZFWSQ,Nokia,13999,13999,0,39,5,MOBFZXUPYH6ZFWSQ,3.7,6 GB
"Nokia 5.3 (CYAN, 64 GB)",https://www.flipkart.com/nokia-5-3-cyan-64-gb/p/itmbc7f9598ad6ed?pid=MOBFZXUZEHZVESBF,Nokia,13999,13999,0,39,5,MOBFZXUZEHZVESBF,3.7,6 GB
"SAMSUNG Galaxy S20 Ultra (Cosmic Gray, 128 GB)",https://www.flipkart.com/samsung-galaxy-s20-ultra-cosmic-gray-128-gb/p/itma25b4687846b4?pid=MOBFZXZ22CWZ2JZB,SAMSUNG,86999,103000,15,93,17,MOBFZXZ22CWZ2JZB,4.3,12 GB
"SAMSUNG Galaxy S20+ (Cosmic Gray, 128 GB)",https://www.flipkart.com/samsung-galaxy-s20-cosmic-gray-128-gb/p/itm7087be7ae167c?pid=MOBFZXZ25TPA68VH,SAMSUNG,54999,83000,33,18038,2750,MOBFZXZ25TPA68VH,4.4,8 GB
"Nokia 5.4 (Dusk, 64 GB)",https://www.flipkart.com/nokia-5-4-dusk-64-gb/p/itm930d349751702?pid=MOBFZYR44AVQFBCP,Nokia,12990,12990,0,955,148,MOBFZYR44AVQFBCP,3.9,4 GB
"Nokia 5.4 (Dusk, 64 GB)",https://www.flipkart.com/nokia-5-4-dusk-64-gb/p/itmcd88d7bafb1d0?pid=MOBFZYR44DENZGXZ,Nokia,15499,18499,16,682,129,MOBFZYR44DENZGXZ,3.9,6 GB
